Code	Scientific	Common	Reverse
9300	'Contopus virens'	'Eastern Wood-Pewee'	'Contopus virens'
9310	'Contopus borealis'	'NA'	'Contopus borealis'
9320	'Myiarchus tuberculifer'	'Dusky-capped Flycatcher'	'Myiarchus tuberculifer'
9330	'Myiarchus nuttingi'	'Copetón de Nutting'	'Myiarchus nuttingi'
9340	'Myiarchus cinerascens'	'Ash-throated Flycatcher'	'Myiarchus cinerascens'
9350	'Myiarchus stolidus'	'Stolid Flycatcher'	'Myiarchus stolidus'
9360	'Myiarchus tyrannulus'	'Brown-crested Flycatcher'	'Myiarchus tyrannulus'
9370	'Myiarchus crinitus'	'Great Crested Flycatcher'	'Myiarchus crinitus'
9380	'Myiodynastes luteiventris'	'Pecho amarillo, mosquero vientriazufrado'	'Myiodynastes luteiventris'
9390	'Myiozetetes similis'	'Social Flycatcher'	'Myiozetetes similis'
9400	'Pitangus sulphuratus'	'Great kiskadee'	'Pitangus sulphuratus'
9410	'Tyrannus vociferans'	'Cassin\'s Kingbird'	'Tyrannus vociferans'
9420	'Tyrannus verticalis'	'Western Kingbird'	'Tyrannus verticalis'
9430	'Tyrannus crassirostris'	'Thick-billed Kingbird'	'Tyrannus crassirostris'
9440	'Tyrannus couchii'	'Couch\'s Kingbird'	'Tyrannus couchii'
9450	'Tyrannus dominicensis'	'Gray Kingbird'	'Tyrannus dominicensis'
9460	'Tyrannus cubensis'	'Giant Kingbird'	'Tyrannus cubensis'
9470	'Tyrannus caudifasciatus'	'Loggerhead Kingbird'	'Tyrannus caudifasciatus'
9480	'Tyrannus tyrannus'	'Eastern kingbird'	'Tyrannus tyrannus'
9490	'Muscivora tyrannus'	'NA'	'Muscivora tyrannus'
9500	'Muscivora forficata'	'NA'	'Muscivora forficata'
9510	'Pitta brachyura'	'Indian pitta'	'Pitta brachyura'
9520	'Mirafra cantillans'	'Singing Bush Lark'	'Mirafra cantillans'
9530	'Eremopterix nigriceps'	'Alouette-moineau à front blanc'	'Eremopterix nigriceps'
9540	'Eremalauda dunni'	'Alouette de Dunn'	'Eremalauda dunni'
9550	'Ammomanes cincturus'	'NA'	'Ammomanes cincturus'
9560	'Ammomanes phoenicurus'	'NA'	'Ammomanes phoenicurus'
9570	'Ammomanes deserti'	'Desert Lark'	'Ammomanes deserti'
9580	'Alaemon alaudipes'	'Greater Hoopoe-Lark'	'Alaemon alaudipes'
9590	'Chersophilus duponti'	'Dupont\'s Lark'	'Chersophilus duponti'
9600	'Ramphocoris clotbey'	'Alouette de Clotbey'	'Ramphocoris clotbey'
9610	'Melanocorypha calandra'	'Calandra Lark'	'Melanocorypha calandra'
9620	'Melanocorypha bimaculata'	'Alouette calandre orientale'	'Melanocorypha bimaculata'
9621	'Melanocorypha bimaculata bimaculata'	'NA'	'Melanocorypha bimaculata bimaculata'
9622	'Melanocorypha bimaculata refescens'	'NA'	'Melanocorypha bimaculata rufescens'
9630	'Melanocorypha maxima'	'Tibetan Lark'	'Melanocorypha maxima'
9640	'Melanocorypha mongolica'	'Mongolian Lark'	'Melanocorypha mongolica'
9650	'Melanocorypha leucoptera'	'NA'	'Melanocorypha leucoptera'
9660	'Melanocorypha yeltoniensis'	'Black Lark'	'Melanocorypha yeltoniensis'
9670	'Calandrella cinerea'	'Red-capped Lark'	'Calandrella cinerea'
9680	'Calandrella brachydactyla'	'Greater Short-toed Lark'	'Calandrella brachydactyla'
9690	'Calandrella acutirostris'	'Hume\'s Short-toed Lark'	'Calandrella acutirostris'
9700	'Calandrella rufescens'	'Alouette pispolette'	'Calandrella rufescens'
9701	'Calandrella rufescens rufescens'	'NA'	'Calandrella rufescens rufescens'
9702	'Calandrella rufescens cheleensis'	'Alouette pispolette'	'Calandrella rufescens'
9710	'Calandrella raytal'	'NA'	'Calandrella raytal'
9720	'Galerida cristata'	'Crested lark'	'Galerida cristata'
9730	'Galerida theklae'	'Thekla\'s Lark'	'Galerida theklae'
9739	'Galerida sp.'	'Sykes\'s Lark'	'Galerida'
9740	'Lullula arborea'	'Wood lark'	'Lullula arborea'
9750	'Alauda gulgula'	'Oriental skylark'	'Alauda gulgula'
9760	'Alauda arvensis'	'Sky lark'	'Alauda arvensis'
9770	'Alauda razae'	'Raso Lark'	'Alauda razae'
9780	'Eremophila alpestris'	'Streaked Horned lark'	'Eremophila alpestris'
9790	'Eremophila bilopha'	'Alouette bilophe'	'Eremophila bilopha'
9799	'Alauda sp.'	'Skylark'	'Alauda'
9800	'Riparia paludicola'	'African Sand Martin'	'Riparia paludicola'
9810	'Riparia riparia'	'Bank Swallow'	'Riparia riparia'
9811	'Riparia riparia riparia'	'NA'	'Riparia riparia riparia'
9812	'Riparia riparia ijimae'	'NA'	'Riparia riparia ijimae'
9813	'Riparia riparia diluta'	'Bank Swallow'	'Riparia riparia'
9814	'Riparia riparia shelleyi'	'NA'	'Riparia riparia shelleyi'
9820	'Stelgidopteryx ruficollis'	'Southern Rough-winged Swallow'	'Stelgidopteryx ruficollis'
9830	'Tachycineta bicolor'	'Tree Swallow'	'Tachycineta bicolor'
9840	'Tachycineta albilinea'	'Mangrove Swallow'	'Tachycineta albilinea'
9850	'Tachycineta thalassina'	'Violet-green Swallow'	'Tachycineta thalassina'
9860	'Tachycineta cyaneoviridis'	'Bahama Swallow'	'Tachycineta cyaneoviridis'
9870	'Progne chalybea'	'Gray-breasted Martin'	'Progne chalybea'
9880	'Progne dominicensis'	'Caribbean Martin'	'Progne dominicensis'
9890	'Progne subis'	'Purple martin'	'Progne subis'
9900	'Ptyonoprogne fuligula'	'Rock Martin'	'Ptyonoprogne fuligula'
