Code	Scientific	Common	Reverse
10	'Struthio camelus'	'African ostrich'	'Struthio camelus'
20	'Gavia stellata'	'Red-throated loon'	'Gavia stellata'
21	'Gavia stellata stellata'	'Red-throated loon'	'Gavia stellata'
22	'Gavia stellata squamata'	'Red-throated loon'	'Gavia stellata'
30	'Gavia arctica'	'Arctic loon'	'Gavia arctica'
31	'Gavia arctica arctica'	'NA'	'Gavia arctica arctica'
32	'Gavia arctica viridigularis'	'オオハム'	'Gavia arctica viridigularis'
33	'Gavia arctica pacifica'	'NA'	'Gavia arctica pacifica'
40	'Gavia immer'	'Common loon'	'Gavia immer'
50	'Gavia adamsii'	'Yellow-billed loon'	'Gavia adamsii'
59	'Gavia sp.'	'Fluttering Shearwater'	'Gavia'
60	'Podilymbus podiceps'	'Pied-billed grebe'	'Podilymbus podiceps'
70	'Tachybaptus ruficollis'	'LIttle grebe'	'Tachybaptus ruficollis'
80	'Tachybaptus dominicus'	'Least Grebe'	'Tachybaptus dominicus'
90	'Podiceps cristatus'	'Great crested grebe'	'Podiceps cristatus'
100	'Podiceps grisegena'	'Red-necked grebe'	'Podiceps grisegena'
110	'Podiceps auritus'	'Horned grebe'	'Podiceps auritus'
120	'Podiceps nigricollis'	'Black-necked grebe'	'Podiceps nigricollis'
129	'Podiceps sp.'	'カンムリカイツブリ属'	'Podiceps'
130	'Aechmophorus occidentalis'	'Western Grebe'	'Aechmophorus occidentalis'
140	'Diomedea melanophris'	'NA'	'Diomedea melanophris'
150	'Diomedea chlororhynchos'	'NA'	'Diomedea chlororhynchos'
160	'Diomedea cauta'	'Albatros à cape blanche'	'Diomedea cauta'
170	'Diomedea nigripes'	'NA'	'Diomedea nigripes'
180	'Diomedea immutabilis'	'NA'	'Diomedea immutabilis'
190	'Diomedea albatrus'	'NA'	'Diomedea albatrus'
200	'Diomedea exulans'	'Wandering Albatross'	'Diomedea exulans'
210	'Macronectes giganteus'	'Southern Giant-Petrel'	'Macronectes giganteus'
220	'Fulmarus glacialis'	'Northern fullmar'	'Fulmarus glacialis'
221	'Fulmarus glacialis glacialis'	'NA'	'Fulmarus glacialis glacialis'
230	'Daption capense'	'Cape Petrel'	'Daption capense'
240	'Pterodroma arminjoniana'	'Trindade Petrel'	'Pterodroma arminjoniana'
250	'Pterodroma neglecta'	'Kermadec Petrel'	'Pterodroma neglecta'
260	'Pterodroma mollis/feae/madeira'	'Soft-plumaged Petrel'	'Pterodroma mollis'
261	'Pterodroma mollis'	'Soft-plumaged Petrel'	'Pterodroma mollis'
262	'Pterodroma feae'	'Fea\'s Petrel'	'Pterodroma feae'
263	'Pterodroma madeira'	'Zino\'s Petrel'	'Pterodroma madeira'
270	'Pterodroma inexpectata'	'Mottled Petrel'	'Pterodroma inexpectata'
280	'Pterodroma solandri'	'Providence Petrel'	'Pterodroma solandri'
290	'Pterodroma hasitata'	'Black-capped Petrel'	'Pterodroma hasitata'
300	'Pterodroma hypoleuca'	'Bonin Petrel'	'Pterodroma hypoleuca'
310	'Pterodroma cookii'	'Cook\'s Petrel'	'Pterodroma cookii'
320	'Pterodroma longirostris'	'Stejneger\'s Petrel'	'Pterodroma longirostris'
330	'Pterodroma leucoptera'	'Gould\'s Petrel'	'Pterodroma leucoptera'
340	'Bulweria bulwerii'	'Bulwer\'s petrel'	'Bulweria bulwerii'
350	'Bulweria fallax'	'Jouanin\'s Petrel'	'Bulweria fallax'
360	'Calonectris diomedea'	'Cory\'s Shearwater'	'Calonectris diomedea'
362	'Calonectris edwardsii'	'Cape Verde Shearwater'	'Calonectris edwardsii'
370	'Calonectris leucomelas'	'Streaked Shearwater'	'Calonectris leucomelas'
380	'Puffinus carneipes'	'Flesh-footed shearwater'	'Puffinus carneipes'
390	'Puffinus creatopus'	'Pink-footed shearwater'	'Puffinus creatopus'
400	'Puffinus gravis'	'Greater shearwater'	'Puffinus gravis'
410	'Puffinus pacificus'	'Wedge-tailed shearwater'	'Puffinus pacificus'
420	'Puffinus bulleri'	'Buller\'s shearwater'	'Puffinus bulleri'
430	'Puffinus griseus'	'Sooty shearwater'	'Puffinus griseus'
440	'Puffinus tenuirostris'	'Short-tailed shearwater'	'Puffinus tenuirostris'
450	'Puffinus nativitatis'	'Christmas Shearwater'	'Puffinus nativitatis'
460	'Puffinus puffinus'	'Manx shearwater'	'Puffinus puffinus'
461	'Puffinus puffinus puffinus'	'NA'	'Puffinus puffinus puffinus'
462	'Puffinus puffinus yelkouan'	'NA'	'Puffinus puffinus yelkouan'
463	'Puffinus puffinus mauretanicus'	'NA'	'Puffinus puffinus mauretanicus'
470	'Puffinus auricularis'	'Townsend\'s Shearwater'	'Puffinus auricularis'
480	'Puffinus assimilis'	'Little Shearwater'	'Puffinus assimilis'
481	'Puffinus assimilis assimilis'	'NA'	'Puffinus assimilis assimilis'
482	'Puffinus assimilis baroli'	'NA'	'Puffinus assimilis baroli'
483	'Puffinus assimilis boydi'	'NA'	'Puffinus assimilis boydi'
484	'Puffinus assimilis persicus'	'Little Shearwater'	'Puffinus assimilis'
485	'Puffinus assimilis bannermani'	'Little Shearwater'	'Puffinus assimilis'
490	'Puffinus lherminieri'	'Audubon\'s Shearwater'	'Puffinus lherminieri'
499	'Puffinus sp.'	'Manx shearwater'	'Puffinus'
500	'Oceanites oceanicus'	'Wilson\'s storm petrel'	'Oceanites oceanicus'
510	'Pelagodroma marina'	'White-faced storm petrel'	'Pelagodroma marina'
520	'Hydrobates pelagicus'	'European storm petrel'	'Hydrobates pelagicus'
521	'Hydrobates pelagicus pelagicus'	'European storm petrel'	'Hydrobates pelagicus'
522	'Hydrobates pelagicus melitensis'	'NA'	'Hydrobates pelagicus melitensis'
530	'Halocyptena microsoma'	'NA'	'Halocyptena microsoma'
540	'Oceanodroma furcata'	'Fork-tailed storm petrel'	'Oceanodroma furcata'
550	'Oceanodroma leucorhoa'	'Leach\'s Storm Petrel'	'Oceanodroma leucorhoa'
560	'Oceanodroma monorhis'	'Swinhoe\'s Storm Petrel'	'Oceanodroma monorhis'
570	'Oceanodroma homochroa'	'Ashy Storm-Petrel'	'Oceanodroma homochroa'
580	'Oceanodroma castro'	'Paiño rabifajeado'	'Oceanodroma castro'
581	'Oceanodroma monteiroi'	'Monteiro\'s Storm Petrel'	'Oceanodroma monteiroi'
590	'Oceanodroma tethys'	'Paiño danzarín'	'Oceanodroma tethys'
600	'Oceanodroma melania'	'Black Storm-Petrel'	'Oceanodroma melania'
610	'Oceanodroma matsudairae'	'Matsudaira\'s Storm Petrel'	'Oceanodroma matsudairae'
