"Code" "Name" "Rev" "Common"
"0" "Indet." "Indet." "Unknown"
"9300" "Contopus virens" "Contopus virens" "Eastern Wood-Pewee"
"9310" "Contopus borealis" "Contopus borealis" "NA"
"9320" "Myiarchus tuberculifer" "Myiarchus tuberculifer" "Dusky-capped Flycatcher"
"9330" "Myiarchus nuttingi" "Myiarchus nuttingi" "Copetón de Nutting"
"9340" "Myiarchus cinerascens" "Myiarchus cinerascens" "Ash-throated Flycatcher"
"9350" "Myiarchus stolidus" "Myiarchus stolidus" "Stolid Flycatcher"
"9360" "Myiarchus tyrannulus" "Myiarchus tyrannulus" "Brown-crested Flycatcher"
"9370" "Myiarchus crinitus" "Myiarchus crinitus" "Great Crested Flycatcher"
"9380" "Myiodynastes luteiventris" "Myiodynastes luteiventris" "Pecho amarillo, mosquero vientriazufrado"
"9390" "Myiozetetes similis" "Myiozetetes similis" "Social Flycatcher"
"9400" "Pitangus sulphuratus" "Pitangus sulphuratus" "Great kiskadee"
"9410" "Tyrannus vociferans" "Tyrannus vociferans" "Cassin's Kingbird"
"9420" "Tyrannus verticalis" "Tyrannus verticalis" "Western Kingbird"
"9430" "Tyrannus crassirostris" "Tyrannus crassirostris" "Thick-billed Kingbird"
"9440" "Tyrannus couchii" "Tyrannus couchii" "Couch's Kingbird"
"9450" "Tyrannus dominicensis" "Tyrannus dominicensis" "Gray Kingbird"
"9460" "Tyrannus cubensis" "Tyrannus cubensis" "Giant Kingbird"
"9470" "Tyrannus caudifasciatus" "Tyrannus caudifasciatus" "Loggerhead Kingbird"
"9480" "Tyrannus tyrannus" "Tyrannus tyrannus" "Eastern kingbird"
"9490" "Muscivora tyrannus" "Muscivora tyrannus" "NA"
"9500" "Muscivora forficata" "Muscivora forficata" "NA"
"9510" "Pitta brachyura" "Pitta brachyura" "Indian pitta"
"9520" "Mirafra cantillans" "Mirafra cantillans" "Singing Bush Lark"
"9530" "Eremopterix nigriceps" "Eremopterix nigriceps" "Alouette-moineau à front blanc"
"9540" "Eremalauda dunni" "Eremalauda dunni" "Alouette de Dunn"
"9550" "Ammomanes cincturus" "Ammomanes cincturus" "NA"
"9560" "Ammomanes phoenicurus" "Ammomanes phoenicurus" "NA"
"9570" "Ammomanes deserti" "Ammomanes deserti" "Desert Lark"
"9580" "Alaemon alaudipes" "Alaemon alaudipes" "Greater Hoopoe-Lark"
"9590" "Chersophilus duponti" "Chersophilus duponti" "Dupont's Lark"
"9600" "Ramphocoris clotbey" "Ramphocoris clotbey" "Alouette de Clotbey"
"9610" "Melanocorypha calandra" "Melanocorypha calandra" "Calandra Lark"
"9620" "Melanocorypha bimaculata" "Melanocorypha bimaculata" "Alouette calandre orientale"
"9621" "Melanocorypha bimaculata bimaculata" "Melanocorypha bimaculata bimaculata" "NA"
"9622" "Melanocorypha bimaculata refescens" "Melanocorypha bimaculata rufescens" "NA"
"9630" "Melanocorypha maxima" "Melanocorypha maxima" "Tibetan Lark"
"9640" "Melanocorypha mongolica" "Melanocorypha mongolica" "Mongolian Lark"
"9650" "Melanocorypha leucoptera" "Melanocorypha leucoptera" "NA"
"9660" "Melanocorypha yeltoniensis" "Melanocorypha yeltoniensis" "Black Lark"
"9670" "Calandrella cinerea" "Calandrella cinerea" "Red-capped Lark"
"9680" "Calandrella brachydactyla" "Calandrella brachydactyla" "Greater Short-toed Lark"
"9690" "Calandrella acutirostris" "Calandrella acutirostris" "Hume's Short-toed Lark"
"9700" "Calandrella rufescens" "Calandrella rufescens" "Alouette pispolette"
"9701" "Calandrella rufescens rufescens" "Calandrella rufescens rufescens" "NA"
"9702" "Calandrella rufescens cheleensis" "Calandrella rufescens" "Alouette pispolette"
"9710" "Calandrella raytal" "Calandrella raytal" "NA"
"9720" "Galerida cristata" "Galerida cristata" "Crested lark"
"9730" "Galerida theklae" "Galerida theklae" "Thekla's Lark"
"9739" "Galerida sp." "Galerida" "Sykes's Lark"
"9740" "Lullula arborea" "Lullula arborea" "Wood lark"
"9750" "Alauda gulgula" "Alauda gulgula" "Oriental skylark"
"9760" "Alauda arvensis" "Alauda arvensis" "Sky lark"
"9770" "Alauda razae" "Alauda razae" "Raso Lark"
"9780" "Eremophila alpestris" "Eremophila alpestris" "Streaked Horned lark"
"9790" "Eremophila bilopha" "Eremophila bilopha" "Alouette bilophe"
"9799" "Alauda sp." "Alauda" "Skylark"
"9800" "Riparia paludicola" "Riparia paludicola" "African Sand Martin"
"9810" "Riparia riparia" "Riparia riparia" "Bank Swallow"
"9811" "Riparia riparia riparia" "Riparia riparia riparia" "NA"
"9812" "Riparia riparia ijimae" "Riparia riparia ijimae" "NA"
"9813" "Riparia riparia diluta" "Riparia riparia" "Bank Swallow"
"9814" "Riparia riparia shelleyi" "Riparia riparia shelleyi" "NA"
"9820" "Stelgidopteryx ruficollis" "Stelgidopteryx ruficollis" "Southern Rough-winged Swallow"
"9830" "Tachycineta bicolor" "Tachycineta bicolor" "Tree Swallow"
"9840" "Tachycineta albilinea" "Tachycineta albilinea" "Mangrove Swallow"
"9850" "Tachycineta thalassina" "Tachycineta thalassina" "Violet-green Swallow"
"9860" "Tachycineta cyaneoviridis" "Tachycineta cyaneoviridis" "Bahama Swallow"
"9870" "Progne chalybea" "Progne chalybea" "Gray-breasted Martin"
"9880" "Progne dominicensis" "Progne dominicensis" "Caribbean Martin"
"9890" "Progne subis" "Progne subis" "Purple martin"
"9900" "Ptyonoprogne fuligula" "Ptyonoprogne fuligula" "Rock Martin"
"9910" "Ptyonoprogne rupestris" "Ptyonoprogne rupestris" "Eurasian Crag-Martin"
"9920" "Hirundo rustica" "Hirundo rustica" "Barn swallow"
"9930" "Hirundo tahitica" "Hirundo tahitica" "Pacific Swallow"
"9940" "Hirundo smithii" "Hirundo smithii" "Wire-tailed Swallow"
"9950" "Hirundo daurica" "Hirundo daurica" "Red-rumped swallow"
