"KEY"	"KEY_ALT"	"SYSTEM"	"LEVEL"	"LAT_NAME"	"EN_NAME"	"DESC_LINK"	"BDY_LEN"	"BDY_SPAN"	"SRC_LINK"	"BIRD"	"MMAMMAL"	"REPTILE"	"LMAMMAL"	"FISH"	"GROUP1"	"GROUP2"	"GROUP3"	"AUTHOR"	"LOC_LINK"	"REST_LINK"	"MIG_LINK"	"IMG_SCHEMA"	"IMG_FOTO"	"IMG_AERIAL"	"MES_AERIAL"	"STS_LAW"
"GRM:0"		"Custom"	"UI"	"Species incognitae"	"unknown species"					"t"	"f"	"f"	"f"		"unknown"	"unknown"	"unknown"									
"EURING:20"		"EURING"	"S"	"Gavia stellata"	"Red-throated Diver"	"${WEB.AVIBASE}/6C50988A "	"53-69"	"106-116"	"Red Throated Diver Bird Facts | Gavia Stellata - The RSPB"	"t"	"f"	"f"	"f"		"Waterbird"	"Diver"	"known"									
"EURING:30"		"EURING"	"S"	"Gavia arctica"	"Black-throated Diver"	"${WEB.AVIBASE}/CA5852BE "	"58-73"	"110-130"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/black-throated-diver/"	"t"	"f"	"f"	"f"		"Waterbird"	"Diver"	"known"									
"EURING:40"		"EURING"	"S"	"Gavia immer"	"Great Northern Diver"	"${WEB.AVIBASE}/7E022378"	"70-90"	"127-147"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/great-northern-diver/"	"t"	"f"	"f"	"f"		"Waterbird"	"Diver"	"known"									
"EURING:50"		"EURING"	"S"	"Gavia adamsii"	"White-billed Diver (Yellow-billed Diver)"	"${WEB.AVIBASE}/5349255D"	"84-92"	"36-39.5"	"https://animaldiversity.org/accounts/Gavia_adamsii/"	"t"	"f"	"f"	"f"		"Waterbird"	"Diver"	"known"									
"EURING:59"	"GBIF:2481954"	"EURING"	"G"	"Gavia"	"unidentified diver"					"t"	"f"	"f"	"f"		"Waterbird"	"Diver"	"unknown"									
"EURING:60"		"EURING"	"S"	"Podilymbus podiceps"	"Pied-billed Grebe"	"${WEB.AVIBASE}/9A8E55D0 "	"30.5-38.0"	16	"https://animaldiversity.org/accounts/Podilymbus_podiceps/#5759ee1d815bc431313a62bff0d198c0"	"t"	"f"	"f"	"f"		"Waterbird"	"Grebe"	"known"									
"EURING:70"		"EURING"	"S"	"Tachybaptus ruficollis"	"Little Grebe"	"${WEB.AVIBASE}/71682A47 "	"25-29"	"40-45"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/little-grebe/"	"t"	"f"	"f"	"f"		"Waterbird"	"Grebe"	"known"									
"EURING:90"		"EURING"	"S"	"Podiceps cristatus"	"Great Crested Grebe"	"${WEB.AVIBASE}/8F269702 "	"46-51"	"85-90"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/great-crested-grebe/"	"t"	"f"	"f"	"f"		"Waterbird"	"Grebe"	"known"									
"EURING:100"		"EURING"	"S"	"Podiceps grisegena"	"Red-necked Grebe"	"${WEB.AVIBASE}/1CBD2CED "	"40-50"	"61-88"	"https://www.birdid.no/bird/eBook.php?specieID=1236"	"t"	"f"	"f"	"f"		"Waterbird"	"Grebe"	"known"									
