KEY	KEY_ALT	GBIF	SRANK	RANK	SCI_NAME	ACC_NAME	OEN_NAME	HEN_NAME	AUTHOR	CLASS	MARINE	TERRESTIC	FRESHWATER	PROGRAM	GROUP	ARTIFCIAL	STATUS	BDY_LEN	BDY_SPAN	LNK_GBIF	LNK_IUCN	LNK_ITIS	LNK_WIKI	LNK_WORMS
GRM:0		**NONE**	UI	**NONE**	Species incognitae	**NONE**	unknown species	**NONE**		**NONE**	FALSE	FALSE	FALSE	unknown	unknown	TRUE								
EURING:20	GBIF:2481958	2481958	S	SPECIES	Gavia stellata	Gavia stellata	Red-throated Diver	Red-throated Loon	(Pontoppidan, 1763)	Aves	TRUE	FALSE	TRUE	Waterbird	Diver	FALSE	LEAST-CONCERN, NEAR-THREATENED	53-69	106-116	https://www.gbif.org/species/2481958	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22697829	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174474	http://en.wikipedia.org/wiki/Red-throated_loon	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137188
EURING:30	GBIF:2481959	2481959	S	SPECIES	Gavia arctica	Gavia arctica	Black-throated Diver	Black-throated Loon	(Linnaeus, 1758)	Aves	TRUE	FALSE	TRUE	Waterbird	Diver	FALSE	LEAST-CONCERN, DATA-DEFICIENT	58-73	110-130	https://www.gbif.org/species/2481959	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22697834	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174471	http://en.wikipedia.org/wiki/Black-throated_loon	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137186
EURING:40	GBIF:2481962	2481962	S	SPECIES	Gavia immer	Gavia immer	Great Northern Diver	Common Loon	(Brunnich, 1764)	Aves	TRUE	FALSE	TRUE	Waterbird	Diver	FALSE	LEAST-CONCERN, ENDANGERED	70-90	127-147	https://www.gbif.org/species/2481962	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22697842	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174469	http://en.wikipedia.org/wiki/Common_loon	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137187
EURING:50	GBIF:2481957	2481957	S	SPECIES	Gavia adamsii	Gavia adamsii	White-billed Diver (Yellow-billed Diver)	Yellow-billed Loon	(G.R.Gray, 1859)	Aves	TRUE	FALSE	TRUE	Waterbird	Diver	FALSE	NEAR-THREATENED, CRITICALLY-ENDANGERED	84-92	36-39.5	https://www.gbif.org/species/2481957	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22697847	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174470	http://en.wikipedia.org/wiki/Yellow-billed_loon	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137185
EURING:59	GBIF:2481954	2481954	G	GENUS	Gavia	Gavia	unidentified diver	Indet. Diver	J.R.Forster, 1788	Aves	TRUE	TRUE	TRUE	Waterbird	Diver	TRUE	NOT-EVALUATED			https://www.gbif.org/species/2481954	NA	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174468	http://en.wikipedia.org/wiki/Loon	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137057
EURING:60	GBIF:2482077	2482077	S	SPECIES	Podilymbus podiceps	Podilymbus podiceps	Pied-billed Grebe	Pied-billed Grebe	(Linnaeus, 1758)	Aves	TRUE	FALSE	TRUE	Waterbird	Grebe	FALSE	LEAST-CONCERN	30.5-38.0	16	https://www.gbif.org/species/2482077	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22696574	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174505	http://en.wikipedia.org/wiki/Pied-billed_grebe	http://www.marinespecies.org/aphia.php?p=taxdetails&id=159062
EURING:70	GBIF:2482048	2482048	S	SPECIES	Tachybaptus ruficollis	Tachybaptus ruficollis	Little Grebe	Little Grebe	(Pallas, 1764)	Aves	TRUE	FALSE	FALSE	Waterbird	Grebe	FALSE	LEAST-CONCERN, NEAR-THREATENED	25-29	40-45	https://www.gbif.org/species/2482048	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22696545	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=563259	http://en.wikipedia.org/wiki/Little_grebe	http://www.marinespecies.org/aphia.php?p=taxdetails&id=148790
EURING:90	GBIF:2482054	2482054	S	SPECIES	Podiceps cristatus	Podiceps cristatus	Great Crested Grebe	Great Crested Grebe	(Linnaeus, 1758)	Aves	TRUE	TRUE	TRUE	Waterbird	Grebe	FALSE	LEAST-CONCERN, VULNERABLE	46-51	85-90	https://www.gbif.org/species/2482054	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22696602	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174491	http://en.wikipedia.org/wiki/Great_crested_grebe	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137182
EURING:100	GBIF:2482051	2482051	S	SPECIES	Podiceps grisegena	Podiceps grisegena	Red-necked Grebe	Red-necked Grebe	(Boddaert, 1783)	Aves	TRUE	FALSE	TRUE	Waterbird	Grebe	FALSE	LEAST-CONCERN, NOT-EVALUATED	40-50	61-88	https://www.gbif.org/species/2482051	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22696599	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174479	http://en.wikipedia.org/wiki/Red-necked_grebe	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137183
EURING:110	GBIF:2482059	2482059	S	SPECIES	Podiceps auritus	Podiceps auritus	Slavonian Grebe	Horned Grebe	(Linnaeus, 1758)	Aves	TRUE	TRUE	TRUE	Waterbird	Grebe	FALSE	VULNERABLE, LEAST-CONCERN	31-38	59-65	https://www.gbif.org/species/2482059	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22696606	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174482	http://en.wikipedia.org/wiki/Horned_grebe	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137181
EURING:120	GBIF:2482065	2482065	S	SPECIES	Podiceps nigricollis	Podiceps nigricollis	Black-necked Grebe	Black-necked Grebe	C.L.Brehm, 1831	Aves	TRUE	FALSE	TRUE	Waterbird	Grebe	FALSE	LEAST-CONCERN, ENDANGERED, VULNERABLE	28-34	56-60	https://www.gbif.org/species/2482065	https://apiv3.iucnredlist.org/api/v3/taxonredirect/22696610	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=174485	http://en.wikipedia.org/wiki/Black-necked_grebe	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137184
GRM:127		**NONE**	SG	**NONE**	Podiceps grisegena/ cristatus	**NONE**	Red-necked/Great Crested Grebe	**NONE**		**NONE**	FALSE	FALSE	FALSE	Waterbird	Grebe	FALSE								
GRM:128		**NONE**	SG	**NONE**	Podiceps auritus/ nigricollis	**NONE**	Slavonian/Black-necked Grebe	**NONE**		**NONE**	FALSE	FALSE	FALSE	Waterbird	Grebe	FALSE								
